21.84;2Me-C26
25.43;2Me-C28
25.74;?
26.11;C29
28.35;3,7,11,15-tetraMe-C29
28.69;2Me-C30
29.37;2,8,12-triMe-C30
29.77;2,8,12,16-tetraMe-C30
32.66;2,8,12,16-tetraMe-C32
33.85;? m/z 478 ester
34.13;? m/z 494 ester
